dropout_0,dropout_1,dropout_2,dropout_3,dropout_4,dropout_5,lrate,num_layers,reg_0,reg_1,reg_2,reg_3,reg_4,reg_5,score,tuner/bracket,tuner/epochs,tuner/initial_epoch,tuner/round,units_0,units_1,units_2,units_3,units_4,units_5
0.3,0.2,0.0,,,,0.004,2,8.399999999999994e-05,0.000155999999999,0.000139999999999,,,,0.7371500134468071,0,20,0,0,300,400,500.0,,,
0.05,0.1,0.0,,,,0.005,2,0.000113999999999,0.000158999999999,0.000100999999999,,,,0.7373499870300291,0,20,0,0,400,500,200.0,,,
0.25,0.0,0.05,,,,0.008,3,6.000000000000001e-05,6.5e-05,0.000110999999999,,,,0.7212499976158141,0,20,0,0,200,500,500.0,,,
0.05,0.35,0.05,,,,0.003,2,0.000135999999999,8.099999999999995e-05,0.000128999999999,,,,0.7240999937057491,2,3,0,0,384,128,256.0,,,
0.2,0.3,0.3,,,,0.002,3,0.000102999999999,0.000105999999999,9.699999999999988e-05,,,,0.7279000282287591,2,3,0,0,256,512,512.0,,,
0.0,0.2,0.2,,,,0.003,2,0.000141999999999,0.000145999999999,6.899999999999997e-05,,,,0.7196000218391411,2,3,0,0,384,384,512.0,,,
0.35,0.0,0.4,,,,0.003,3,6.3e-05,0.000156999999999,0.000136999999999,,,,0.724650025367736,2,3,0,0,256,128,256.0,,,
0.25,0.1,0.15,0.45,,,0.003,4,9.999999999999988e-05,7.699999999999996e-05,7.699999999999996e-05,0.000111999999999,,,0.7085499763488771,2,3,0,0,384,384,128.0,128.0,,
0.2,0.3,0.3,,,,0.002,3,0.000102999999999,0.000105999999999,9.699999999999988e-05,,,,0.731700003147125,2,7,3,1,256,512,512.0,,,
0.35,0.0,0.4,,,,0.003,3,6.3e-05,0.000156999999999,0.000136999999999,,,,0.716099977493286,2,7,3,1,256,128,256.0,,,
0.05,0.35,0.05,,,,0.003,2,0.000135999999999,8.099999999999995e-05,0.000128999999999,,,,0.7347499728202821,2,7,3,1,384,128,256.0,,,
0.0,0.2,0.2,,,,0.003,2,0.000141999999999,0.000145999999999,6.899999999999997e-05,,,,0.7369499802589411,2,7,3,1,384,384,512.0,,,
0.0,0.2,0.2,,,,0.003,2,0.000141999999999,0.000145999999999,6.899999999999997e-05,,,,0.745400011539459,2,20,7,2,384,384,512.0,,,
0.05,0.35,0.05,,,,0.003,2,0.000135999999999,8.099999999999995e-05,0.000128999999999,,,,0.749949991703033,2,20,7,2,384,128,256.0,,,
0.2,0.0,0.15,0.15,,,0.007,4,0.000119999999999,0.000153999999999,0.000150999999999,0.000152999999999,,,0.707199990749359,1,7,0,0,128,640,256.0,512.0,,
0.05,0.25,0.15,0.4,,,0.007,3,8.199999999999993e-05,9.49999999999999e-05,8.299999999999994e-05,7.299999999999997e-05,,,0.723150014877319,1,7,0,0,128,256,512.0,512.0,,
0.2,0.25,0.4,0.4,,,0.003,4,0.000158999999999,7.899999999999994e-05,7.199999999999996e-05,0.000139999999999,,,0.7332000136375421,1,7,0,0,384,640,384.0,384.0,,
0.2,0.25,0.4,0.4,,,0.003,4,0.000158999999999,7.899999999999994e-05,7.199999999999996e-05,0.000139999999999,,,0.735849976539611,1,20,7,1,384,640,384.0,384.0,,
0.05,0.25,0.15,0.4,,,0.007,3,8.199999999999993e-05,9.49999999999999e-05,8.299999999999994e-05,7.299999999999997e-05,,,0.729200005531311,1,20,7,1,128,256,512.0,512.0,,
0.35,0.1,0.3,0.25,,,0.001,4,9.89999999999999e-05,8.199999999999993e-05,8.599999999999994e-05,9.39999999999999e-05,,,0.7728499770164491,0,20,0,0,384,128,128.0,640.0,,
0.3,0.25,0.3,0.3,,,0.004,3,8.499999999999994e-05,0.000114999999999,7.999999999999994e-05,6.899999999999997e-05,,,0.729749977588653,0,20,0,0,128,384,640.0,512.0,,
0.1,0.15,0.3,0.2,,,0.007,3,6.5e-05,6.1e-05,0.000121999999999,9.099999999999992e-05,,,0.733550012111663,0,20,0,0,256,384,128.0,256.0,,
0.3,0.3,0.2,0.05,,,0.007,2,0.000104999999999,0.000134999999999,7.299999999999997e-05,0.000139999999999,,,0.7148000001907341,0,20,0,0,640,512,512.0,512.0,,
0.15000000000000002,0.15000000000000002,0.30000000000000004,0.2,0.15000000000000002,0.35000000000000003,0.005,6,7.399999999999997e-05,9.89999999999999e-05,7.699999999999996e-05,8.599999999999994e-05,9.999999999999988e-05,6.699999999999999e-05,0.706799983978271,2,3,0,0,256,256,640.0,384.0,512.0,256.0
0.05,0.1,0.2,0.1,0.1,0.1,0.001,3,8.299999999999994e-05,8.599999999999994e-05,7.699999999999996e-05,0.00010599999999900001,6.1e-05,6.3e-05,0.7459499835968011,2,3,0,0,128,256,384.0,256.0,512.0,256.0
0.05,0.2,0.05,0.30000000000000004,0.15000000000000002,0.30000000000000004,0.005,6,7.199999999999996e-05,0.000104999999999,7.199999999999996e-05,7.099999999999996e-05,9.699999999999989e-05,0.00010799999999900001,0.7175499796867371,2,3,0,0,128,512,128.0,128.0,384.0,128.0
